Name,Address,City,Phone,Sat Hours
Belmont Eye Care,3110 W Belmont Ave Ste 1E,"Chicago, IL 60618",(312) 626-2376,Sat 10:00 - 4:00
Spex,2154 W Roscoe Unit C,"Chicago, IL 60618",(773) 525-2022,Sat 9:00 - 5:00
Family Eye Physicians,4459 N Kedzie Ave,"Chicago, IL 60625",(773) 866-2020,Fri - Sat 9:00 - 1:00
Custom Eyes,2110 W Roscoe St,"Chicago, IL 60618",(773) 975-2015,Fri - Sat 9:00 - 5:00
Eyecare Of Wrigleyville,2000 W Addison St,"Chicago, IL 60618",(773) 528-3790,Sat 9:00 - 2:00
Barry P Siegel OD PC,1926 W Irving Park Rd,"Chicago, IL 60613",(773) 525-0952,"Wed, Sat 9:30 - 3:00"
Spex,4740 N Lincoln Ave,"Chicago, IL 60625",(773) 275-2900,Sat 10:00 - 5:00
Lawrence Eye Care,3711 W Lawrence Ave,"Chicago, IL 60625",(773) 583-5727,Mon - Sat 10:00 - 7:00
Lyons Family Eye Care,3250 N Lincoln Ave,"Chicago, IL 60657",(773) 935-2020,Sat 9:00 - 3:00
Lakeview Eye Care,3500 N Ashland Ave,"Chicago, IL 60657",(773) 327-0874,Sat - Sun 9:00 - 3:00
Eye See Ravenswood,4735 N Damen Ave,"Chicago, IL 60625",(773) 961-8700,Sat 8:00 - 1:00
Pearle Vision,3136 N Lincoln Ave,"Chicago, IL 60657",(773) 871-8210,
Custom Eyes,3539 N Southport Ave Unit N,"Chicago, IL 60657",(773) 871-2020,Fri - Sat 9:00 - 6:00
Onesite Eyecare,3220 W Armitage Ave,"Chicago, IL 60647",(773) 661-6615,Sat 11:00 - 3:00
Spex,4418 W Diversey Ave,"Chicago, IL 60639",(773) 736-6800,Sat 8:00 - 2:00
Red Eye Eyewear,2158 N Damen Ave,"Chicago, IL 60647",(773) 782-1660,Sat 11:00 - 5:00
Pearle Vision Riverpoint,1730 W Fullerton Ave,"Chicago, IL 60614",(773) 327-3000,Sat 9:00 - 5:30
Pearle Vision Klee Plaza At Six Corners,4017 N Milwaukee Ave,"Chicago, IL 60641",(773) 545-2660,Sat 9:00 - 5:00
Bahk Eye Care,5437 N Lincoln Ave,"Chicago, IL 60625",(773) 561-1199,Sat 10:00 - 6:00
Spencer Eye Care Ltd,4949 W Irving Park Rd,"Chicago, IL 60641",(773) 237-4774,Fri - Sat 9:00 - 2:00
James K Chikaraishi OD,3232 W Bryn Mawr Ave,"Chicago, IL 60659",(773) 588-4433,Sat 9:00 - 3:00
Wink Optical,2736 N Lincoln Ave,"Chicago, IL 60614",(773) 348-9465,Sat 9:00 - 4:00
Vision Boutique,3053 N Sheffield Ave,"Chicago, IL 60657",(773) 360-8900,Sat 10:00 - 4:00
Wilson Optical,1056 W Wilson Ave,"Chicago, IL 60640",(773) 271-5774,Sat 9:00 - 6:00
Visionary Eye Care Professionals PC,5222 N Clark St,"Chicago, IL 60640",(773) 275-2538,Fri - Sat 10:30 - 5:30
Rosin Eyecare,2152 N Clybourn St,"Chicago, IL 60614",(773) 360-6160,Sat 8:00 - 3:00
Vision 20 Eyecare,4863A N Broadway,"Chicago, IL 60640",(773) 506-7887,
Spex,3760 N Broadway St,"Chicago, IL 60613",(773) 975-2020,Sat 9:00 - 5:00
Spex,5408 N Clark,"Chicago, IL 60640",(773) 275-2020,Sat 9:00 - 5:00
Halsted Eye Boutique,2852 N Halsted,"Chicago, IL 60657",(773) 549-1111,Sat 10:00 - 5:00
Steven K Kajita OD,2525 N Lincoln Ave,"Chicago, IL 60614",(773) 549-1516,Sat 9:00 - 3:00
Urban Eyecare,1515 N Milwaukee Ave,"Chicago, IL 60622",(773) 772-2424,Sat 10:00 - 4:00
Chicago Vision Club On Clark INC,2862 N Clark,"Chicago, IL 60657",(773) 296-4920,Sat 10:00 - 6:00
North Shore Vision Center,1135 W Berwyn,"Chicago, IL 60640",(773) 878-5197,Sat 10:00 - 4:00
Stone Eye Center,4640 N Marine Dr,"Chicago, IL 60640",(773) 561-4545,Sat 9:00 - 1:00
Spex,1407 N Milwaukee,"Chicago, IL 60622",(773) 276-2020,Sat 9:00 - 5:00
Eye Mechanix,1953P N Clybourn Ave,"Chicago, IL 60614",(773) 857-1260,Sat 10:00 - 4:00
Smart Optical,2730 N Clark St,"Chicago, IL 60614",(773) 868-9189,
Wicker Park Eye Center,2222 W Division St Ste 135,"Chicago, IL 60622",(773) 276-9030,Sat 8:00 - 1:00
Edward C Chen OD,5704 N Clark St,"Chicago, IL 60660",(773) 878-3456,Sat 9:30 - 5:00
Eye Candy Optics,2121 W Division St,"Chicago, IL 60622",(773) 697-7370,Sat - Sun 11:00 - 5:00
Spex,2146 N Halsted St,"Chicago, IL 60614",(773) 975-7867,Sat 9:00 - 5:00
Sauganash Family Eye Center LLC,4151 W Peterson Ave,"Chicago, IL 60646",(773) 685-5606,Sat 9:00 - 2:00
Division Optical,1756 W Division St,"Chicago, IL 60622",(773) 489-4848,Fri - Sat 10:00 - 6:00
Lincoln Park Eyes LLC,2842 N Sheridan Rd,"Chicago, IL 60657",(773) 975-4300,Sat 9:00 - 1:00
Richard Raymer OD,2922 W Devon Ave,"Chicago, IL 60659",(773) 262-2105,Fri - Sat 9:00 - 2:00
Eye Clinic Leo Ayzenberg MD,2922 W Devon Ave,"Chicago, IL 60659",(773) 283-7700,Mon - Sat 9:00 - 5:00
Chicago Eye Care Center,3104 W Devon Ave,"Chicago, IL 60654",(773) 764-3937,
Dr Cesar L Lau,4968 N Milwaukee Ave Unit 1S,"Chicago, IL 60630",(773) 283-4053,Sat 9:00 - 1:00
Justin R Gordon OD,3368 W Devon Ave,"Lincolnwood, IL 60712",(773) 764-5300,
